DST1004*08  X220   0 -37 -37 -37 -37 -35 -34 -33 -33 -34 -34 -30 -31 -30 -28 -28 -30 -30 -30 -29 -29 -33 -37 -43 -41 -33
DST1004*09  X220   0 -41 -37 -32 -33 -35 -36 -37 -36 -34 -32 -32 -33 -32 -30 -29 -28 -29 -30 -29 -30 -31 -31 -31 -28 -32
DST1004*10  X220   0 -25 -22 -21 -22 -21 -21 -21 -20 -19 -17 -18 -19 -20 -20 -19 -20 -20 -21 -23 -23 -22 -20 -21 -20 -21
DST1004*11  X220   0 -19 -18 -15 -11 -11 -13 -13 -13 -17 -17 -16 -17 -19  -7  -7  -7 -14 -22 -36 -46 -47 -47 -46 -51 -22
DST1004*12  X220   0 -61 -67 -58 -43 -41 -44 -54 -44 -40 -35 -31 -31 -30 -31 -30 -25  -9  -6 -13 -21 -28 -28 -30 -32 -35
DST1004*13  X220   0 -28 -26 -25 -26 -26 -26 -28 -28 -27 -24 -22 -20 -22 -22 -23 -24 -24 -23 -21 -21 -23 -26 -27 -24 -24
DST1004*14  X220   0 -19 -18 -19 -21 -23 -21 -21 -20 -18 -18 -16 -16 -14 -12  -7  -1   1   5   6   4   2  -7 -20 -36 -13
DST1004*15  X220   0 -30 -22 -23 -30 -35 -34 -32 -29 -28 -28 -28 -25 -25 -27 -29 -28 -26 -22 -18 -16 -13 -15 -17 -16 -25
DST1004*16  X220   0 -15 -17 -17 -14 -17 -19 -18 -17 -15 -16 -17 -14 -15 -17 -18 -17 -16 -11 -10  -8  -8  -7  -7  -8 -14
DST1004*17  X220   0  -8 -12 -13 -11 -13 -15 -17 -17 -14 -11 -12 -14 -17 -18 -17 -16 -14 -11 -10 -13 -15 -15 -17 -18 -14
DST1004*18  X220   0 -16 -17 -20 -20 -19 -18 -15 -15 -15 -13  -9  -4  -4  -6  -7  -7  -6  -4  -1  -1   0  -1  -3  -6  -9
DST1004*19  X220   0  -8  -8  -8  -5  -6  -8  -6  -4  -6  -5  -2   0  -3  -7  -9 -10 -10  -9  -8  -6  -7  -8 -10 -11  -7
DST1004*20  X220   0 -10  -9  -8  -6  -5  -7  -8  -7  -8  -5  -3  -1  -3  -7 -10 -11 -12 -11 -11 -14 -17 -20 -21 -18 -10
DST1004*21  X220   0 -13 -11 -11 -13 -12 -14 -14 -11 -11 -11 -11  -9 -10  -8  -9 -12  -8  -7  -5  -3  -4  -3  -2  -1  -9
DST1004*22  X220   0  -1  -1  -4  -5  -6 -10 -10 -14 -14 -13 -12  -7  -6  -7  -8 -10  -5  -1  -3  -3  -1   2   3   0  -6
DST1004*23  X220   0  -6 -22 -33 -31 -23 -26 -23 -22 -20 -18 -17 -13 -10 -11 -15 -15 -16 -15 -14 -13 -17 -19 -18 -26 -18
DST1004*24  X220   0 -31 -31 -25 -22 -23 -23 -21 -18 -17 -15 -15 -20 -24 -23 -24 -24 -22 -22 -21 -19 -16 -16 -13 -10 -21
DST1004*25  X220   0 -10 -13 -13 -10  -8  -9  -9  -9 -10  -9  -9 -10  -7  -6  -6  -6  -7  -8  -7  -7  -5  -3  -5  -6  -8
DST1004*26  X220   0  -6  -6  -5  -4  -4  -3  -3  -3  -4  -3  -6  -8  -6  -5  -4   1   3   2  -2  -2  -1   1   4   4  -3
DST1004*27  X220   0   3   2   2   1  -4  -5  -6  -7  -8  -7  -7  -8 -10 -11 -11 -10  -8  -7  -4  -1  -2   3   5   1  -4
DST1004*28  X220   0   0   0   2   5   5   4  -1  -5  -3  -1   2   0  -4  -7  -9 -10  -8  -6  -2   3   2  -3  -7 -10  -2
DST1004*29  X220   0 -10 -10 -10  -9  -5 -12  -8  -6  -6  -6  -3  -2  -2  -5  -7  -8  -8  -8  -6  -7  -9 -10 -12 -14  -8
DST1004*30  X220   0 -11 -10 -10  -7  -6  -6  -7  -8  -7  -7  -7  -7  -8  -8 -10 -11 -13 -12 -10  -8  -7  -7  -6  -5  -8
DST1005*01  X220   0  -6  -7  -8  -9 -11 -12 -11 -10  -9  -8  -3  -3  -3  -2  -1  -3  -4  -3  -2  -1  -2  -2  -2  -4  -5
DST1005*02  X220   0  -4  -2   0   5   8   5  16  23  29  26  25   9 -20 -43 -58 -53 -61 -69 -71 -68 -70 -62 -60 -59 -23
DST1005*03  X220   0 -53 -58 -52 -51 -47 -50 -48 -45 -44 -39 -36 -48 -46 -47 -47 -44 -45 -42 -44 -35 -35 -38 -36 -36 -44
DST1005*04  X220   0 -34 -35 -36 -34 -33 -30 -31 -33 -35 -37 -34 -35 -36 -36 -35 -33 -31 -33 -29 -27 -26 -27 -29 -30 -32
DST1005*05  X220   0 -26 -25 -23 -23 -25 -25 -22 -22 -25 -26 -24 -24 -22 -23 -23 -25 -25 -24 -20 -18 -19 -19 -18 -17 -23
DST1005*06  X220   0 -15 -15 -19 -20 -17 -22 -27 -29 -28 -28 -23 -23 -23 -22 -21 -22 -23 -23 -21 -16 -15 -19 -23 -20 -21
DST1005*07  X220   0 -17 -19 -20 -20 -21 -25 -22 -19 -20 -21 -21 -20 -21 -22 -25 -24 -23 -23 -23 -19 -16 -15 -14 -21 -20
DST1005*08  X220   0 -25 -27 -30 -33 -32 -28 -27 -23 -24 -24 -23 -21 -23 -22 -22 -20 -21 -20 -20 -19 -18 -16 -13 -12 -23
DST1005*09  X220   0 -13 -16 -16 -16 -16 -14 -14 -14 -15 -15 -16 -16 -15 -14 -14 -15 -14 -14 -15 -14 -13 -12 -12 -11 -14
DST1005*10  X220   0 -13 -13 -10  -9 -10 -10 -10 -12 -14 -12 -10  -3  -3  -4  -5  -4  -2   0  -4  -6  -4   0   0  -1  -7
DST1005*11  X220   0   0   2   3   1   3   0  -9 -13 -11 -11  -5  -3  -2   0  -4  -8 -10  -9  -8  -7  -4  -1   3   3  -4
DST1005*12  X220   0   2  -2  -5  -3  -2   0  -1   0  -2   0  -5  -9 -11 -13 -13 -10 -10 -10 -13 -14 -14 -13 -14 -13  -7
DST1005*13  X220   0 -15 -13 -11 -11 -10  -9 -10 -10  -8  -7  -4  -4  -3  -1  -3  -5  -3  -6  -5  -7  -6  -6  -7  -5  -7
DST1005*14  X220   0  -3  -1   0  -1  -3  -3  -4  -5  -3  -2  -2  -1  -2  -5  -6  -4  -4  -5  -2   1   1   0   0  -1  -2
DST1005*15  X220   0  -1  -2  -5  -9 -11 -12 -11 -13 -13 -12 -12 -11 -12 -12 -11  -9  -7  -6  -5  -6  -7  -7  -8  -8  -9
DST1005*16  X220   0  -8  -4  -5  -5  -5   1   1  -2  -2   0   1   2   1   4   6   4   2   0   0  -2   3   3   3  -1   0
DST1005*17  X220   0  -4  -8  -8 -11 -13 -12 -12 -10  -9  -7  -6  -9 -11 -10  -7  -4  -1  -3  -3  -6  -9  -9  -8  -7  -8
DST1005*18  X220   0  -6  -9 -12 -13 -11  -9 -10 -17 -26 -31 -34 -33 -32 -30 -28 -28 -24 -20 -21 -20 -17 -12  -8  -8 -19
DST1005*19  X220   0  -5  -2   0   2   1   1   5   6   8   9  13  19  26  17  14   9   0  -4  -5  -2   1   1   1  -6   5
DST1005*20  X220   0 -12  -9  -7  -6  -6  -4 -12 -17 -15  -9  -5  -3  -9  -7  -4  -5  -7  -8  -9 -10 -10 -12 -14 -19  -9
DST1005*21  X220   0 -17 -13 -11 -13 -12 -12 -15 -16 -12 -12 -13 -13 -11 -13 -16 -17 -14 -10  -8  -6  -4  -1   1  -2 -11
DST1005*22  X220   0  -4  -4  -4  -4  -2  -1  -2  -5  -8  -9  -8  -6  -7  -7  -6  -4  -3   0   1   2   2   3   1  -3  -3
DST1005*23  X220   0  -5  -4  -2  -3  -4  -2  -1  -2  -4  -6  -6  -4  -2  -2  -2  -1  -1  -1   1   0  -3  -3   0  -2  -2
DST1005*24  X220   0  -3  -4  -4  -3  -2   0   0   0   0   0  -2  -5  -8  -6  -2   0   0   0   1   1   2   3   4   5  -1
DST1005*25  X220   0   4   2  -2  -4  -2   0  -2  -3  -3  -4  -4  -4  -4  -4  -1   4   6   6   4   5   6   2   1   2   0
DST1005*26  X220   0   2   6  10  11   8   6   3   2   0  -6  -9  -7  -3   0  -2  -2  -4  -5  -2   0  -1  -4  -8 -10  -1
DST1005*27  X220   0 -11  -7  -6  -6  -6  -6  -5  -6  -6  -5  -5  -4  -4  -5  -4  -3  -1  -2  -3  -3  -2  -2  -4  -7  -5
DST1005*28  X220   0  -7  -6  -5   9   8   7   6   7  14  18  12   6   4   0   8  13  17  17  17  11  14   3  -9 -12   6
DST1005*29  X220   0 -12 -14 -17 -21 -29 -42 -53 -62 -57 -69 -72 -76 -80 -79 -77 -73 -70 -60 -52 -52 -49 -38 -31 -34 -51
DST1005*30  X220   0 -35 -34 -34 -35 -35 -36 -42 -45 -43 -38 -35 -31 -26 -27 -22 -24 -31 -41 -47 -53 -58 -57 -55 -45 -39
DST1005*31  X220   0 -44 -41 -38 -36 -33 -37 -36 -36 -39 -33 -26 -22 -26 -35 -39 -36 -33 -32 -33 -37 -42 -45 -41 -42 -36
DST1006*01  X220   0 -44 -38 -31 -27 -28 -33 -31 -28 -29 -29 -27 -23 -21 -21 -21 -22 -22 -22 -24 -26 -33 -36 -34 -33 -28
DST1006*02  X220   0 -35 -33 -30 -29 -31 -28 -26 -24 -24 -24 -22 -21 -20 -19 -17 -17 -17 -18 -17 -21 -23 -22 -21 -20 -23
DST1006*03  X220   0 -22 -21 -18 -20 -18 -18 -16 -16 -16 -14 -15 -19 -21 -23 -21 -12 -11  -9  -9 -13 -14 -10 -13 -28 -17
DST1006*04  X220   0 -40 -53 -46 -38 -42 -40 -35 -29 -28 -32 -28 -30 -28 -26 -24 -23 -25 -24 -21 -22 -23 -23 -27 -29 -31
